Relatório de Textos Padrão, , , ,Data da geração: 23/02/2026 21:48:23, , ,Total de Textos Padrão Listados: 104
GabRJL,20000038428,"ADMISS - Análise da legitimidade passiva e condições da ação pela teoria da asserção em abstrato (petição inicial, causa de pedir, pertinência subjetiva, fato imputado, mérito, status assertionis)",adm-legit-assercao-stj,Legitimidade Passiva - Preliminares,N,RBRACKMANN,28/10/2025 15:15:46
GabRJL,20000040480,"PRESCRIÇÃO - Suspensão pela Lei 14.010/2020 (RJET). Cálculo de 142 dias (10/06 a 30/10/20) automático e necessidade de prova para período anterior (Covid-19, STJ, REsp 2015440, força maior)",prescição-pandemia-rjet-stj,Prescrição - Preliminares,N,RBRACKMANN,30/01/2026 10:13:39
GabRJL,20000022143,"CONSUMIDOR - Notificação prévia (art. 43, §2º CDC). Validade do e-mail/SMS. Distinguishing do REsp 2.056.285/RS. Precedente 4ª Turma STJ (REsp 2.063.145/RS) e TJRS. Consentimento e prova de entrega.",cdc-notifi-eletronica-validade,CDC - MÉRITO - Responsabilidade Civil,N,RBRACKMANN,03/07/2024 18:13:53
GabRJL,20000024073,"REVISIONAL - Seguro prestamista. Venda casada (art. 39, I, CDC). Tema 972 STJ (REsp 1.639.259/SP). Liberdade de contratar e de escolha da seguradora. Necessidade de causa de pedir específica.",ban-seguro-venda-casada,Bancário,N,RBRACKMANN,19/09/2024 14:00:48
GabRJL,20000024093,"CONSUMIDOR - Repetição em dobro do indébito conforme EREsp 1.413.542/RS e modulação de efeitos (art 42 CDC, dever informação, má-fé, boa-fé objetiva, restituição simples, sanção)",repetição indébito dobro,CDC - Sanções / Multas - Responsabilidade Civil,N,RBRACKMANN,19/09/2024 19:01:50
GabRJL,20000030183,REVISIONAL - Tarifas administrativas. TAC. TEC. Tarifa de Cadastro (início de relacionamento). IOF. Temas Repetitivos STJ (REsp 1.251.331 e 1.255.573). Súmulas 565 e 566 do STJ.,ban-tarifas-tac-tec-iof,Bancário - MÉRITO,N,RBRACKMANN,27/05/2025 11:01:57
GabRJL,20000030314,BANCÁRIO - RMC. Repetição de indébito. Forma simples. IRDR 28. Descontos amparados em contrato vigente até anulação judicial. Afastamento do art. 42 do CDC.,ban-rmc-repeticao-simples,Bancário,N,TDOLEYS,30/05/2025 13:51:12
GabRJL,20000030368,BANCÁRIO - RMC. Pedido subsidiário de revisão/conversão. Inviabilidade de aplicação da taxa média do empréstimo consignado comum (Série 25468/20746). Naturezas distintas.,ban-rmc-revisao-inviabil,Bancário,N,RBRACKMANN,02/06/2025 19:09:40
GabRJL,20000032857,"CONSUMIDOR - Inversão do ônus da prova (art. 6º, VIII, CDC). Limites: verossimilhança e viabilidade. Não aplicação absoluta. Ônus de quem afirma fato positivo. Vedação à prova impossível ou diabólica.",cdc-inversao-onus-limites,Provas - CDC,N,RBRACKMANN,18/08/2025 19:28:29
GabRJL,20000033496,"BANCÁRIO - Produção antecipada de prova. Exibição. Interesse processual. REsp 1.349.453/MS. Idoneidade do pedido administrativo (AR, Cartório ou Protocolo). Sigilo bancário. Firma reconhecida.",ban-exibição-interesse-agir,CDC - Bancário - Interesse,N,RBRACKMANN,11/09/2025 13:13:35
GabRJL,20000038020,CONSUMIDOR - Aplicabilidade do CDC à pessoa jurídica. Teoria finalista (destinatário fático e econômico) vs. Teoria finalista mitigada/aprofundada. Requisito da vulnerabilidade in concreto.,cdc-finalismo-mitigado,CDC - MÉRITO,N,RBRACKMANN,14/10/2025 12:03:56
GabRJL,20000025568,"SANÇÕES / MULTAS - Critérios para configuração de litigância de má-fé, distinção de estratégia processual e incompetência disciplinar sobre advogado (dolo, conduta maliciosa, desleal, OAB, art 80 CPC)",litigância-ma-fe-geral,Sanções / Multas,N,RBRACKMANN,08/11/2024 15:09:07
GabRJL,20000025754,"RESP. CIVIL - Inexistência de dano moral in re ipsa em fraude de empréstimo consignado sem circunstâncias agravantes (desconto indevido, benefício previdenciário, punitive damages, punitivos)",danos-banc-desconto-indevido,CDC - Apelação - Responsabilidade Civil - Bancário,N,RBRACKMANN,18/11/2024 17:54:57
GabRJL,20000037565,"RESP. CIVIL - Responsabilidade do advogado pela perda de uma chance exige chance séria e real de êxito e conduta culposa (negligência, obrigação de meio, art 667 CC, nexo causal, probabilidade)",danos-adv-perda-chance,Responsabilidade Civil - MÉRITO,N,RBRACKMANN,29/09/2025 15:46:02
GabRJL,20000028884,"NULIDADE - Preliminar de cerceamento de defesa e decisão surpresa por revogação de inversão do ônus da prova sem prejuízo (pas de nullité sans grief, art 9, 10, 277, 278, 357 CPC, CDC)",nulid-cerceam-prejuizo,Nulidades,N,RBRACKMANN,15/04/2025 12:53:41
GabRJL,20000038017,"NULIDADE - Critérios de fundamentação e dever de enfrentar argumentos capazes de infirmar a conclusão do julgador (art 489 IV CPC, CF 93 IX, omissão, relevância potencial, contraditório, síntese)",nulid-489-iv,Nulidades,N,RBRACKMANN,14/10/2025 10:45:16
GabRJL,20000038019,"NULIDADE - Critérios para identificar fundamentação genérica e vício de genericidade absoluta na decisão (art 489 III CPC) (nexo causal, caso concreto, nulidade, CF 93 IX, motivação, similitude)",nulid-489-iii,Nulidades,N,RBRACKMANN,14/10/2025 10:46:50
GabRJL,20000040350,"NULIDADE - Invalidade relativa de garantia (fiança/aval) por falta de outorga uxória. Legitimidade exclusiva do cônjuge prejudicado ou herdeiros. Vedação à torpeza (1650 CC, 18 CPC, STJ, Súmula 332)",nulid-outorga-uxoria,Fiança - Nulidades,N,RBRACKMANN,26/01/2026 14:16:52
GabRJL,20000017830,EXECUÇÃO - Cálculos. Metodologia e critérios jurídicos. Erro material aritmético vs. Matéria de ordem pública. Juros e correção. Lei 14.905/24. SELIC. Tema 1.361 STF,OI - CÁLCULO - PRECLUSÃO,Execução - Juros e Correção Monetária,N,TDOLEYS,06/02/2024 15:36:20
GabRJL,20000023525,EXECUÇÃO - Exceção de pré-executividade. Alegação de excesso de execução. Necessidade de prova pré-constituída e desnecessidade de dilação probatória.,excesso de execução-exceção,Execução,N,TDOLEYS,04/09/2024 16:54:09
GabRJL,20000027423,"JUROS / CORREÇÃO - Incidência da Lei 14.905/24 (IPCA e SELIC) e aplicação imediata por ser matéria de ordem pública conforme Tema 1361 STF (art 389, art 406 CC, juros legais, atualização monetária)",ipca-selic,Juros e Correção Monetária - Execução - MÉRITO,N,RBRACKMANN,17/02/2025 15:39:52
GabRJL,20000037979,"EXECUÇÃO - Princípio da menor onerosidade vs. interesse do credor. Ônus do devedor de indicar meios mais eficazes e menos gravosos (art. 805 e parágrafo único, CPC). Equilíbrio e efetividade.",exec-menor-onerosidade,Execução,N,RBRACKMANN,13/10/2025 10:13:30
GabRJL,20000037992,"EXECUÇÃO - Embargos à execução. Efeito suspensivo. Requisitos cumulativos do art. 919, §1º, do CPC. Relevância da argumentação. Risco de dano. Garantia do juízo.",embargos sem garantia,Execução,N,RBRACKMANN,13/10/2025 14:11:29
GabRJL,20000038531,"EXECUÇÃO - Impenhorabilidade pequena propriedade rural (até 4 módulos fiscais, exploração familiar, subsistência, ônus do devedor, art. 5º XXVI CF, art. 833 VIII CPC, REsp 1.913.234/SP)",exec-impen-rural-completo,Execução - Penhora,N,RBRACKMANN,31/10/2025 11:17:49
GabRJL,20000041060,"EXECUÇÃO - Impenhorabilidade do bem de família (Lei 8.009/90, direito à moradia, art. 6º CF, dignidade da pessoa humana, pluralidade de imóveis, afastamento temporário, REsp 1.482.724/SP)",exec-impen-bemfam-completo,Execução - Penhora,N,RBRACKMANN,20/02/2026 13:27:32
GabRJL,20000015320,ED - Natureza jurídica. Esclarecimento e integração. Função integradora do julgado.,edintro,Estrutura - Embargos de declaração,N,RBRACKMANN,11/10/2023 12:30:44
GabRJL,20000015321,"ED - Dever de fundamentação. Limites do art. 489, §1º, IV, do CPC. Desnecessidade de responder a todos os argumentos. Exame restrito a teses capazes de infirmar a conclusão do julgador.",edomissão,Estrutura - Embargos de declaração,N,RBRACKMANN,11/10/2023 12:34:01
GabRJL,20000015322,"ED - Definição de contradição sanável. Necessidade de vício interno entre proposições do próprio julgado. Inviabilidade de alegar contradição com prova, lei ou entendimento da parte.",edcontradição,Estrutura - Embargos de declaração,N,RBRACKMANN,11/10/2023 12:35:33
GabRJL,20000015323,ED - Definição de erro material. Lapso involuntário na escrita ou cálculo vs. decisão voluntária e motivada. Inexistência de vício sanável quando há discordância sobre o mérito.,ederromaterial,Estrutura - Embargos de declaração,N,RBRACKMANN,11/10/2023 12:36:31
GabRJL,20000015324,"ED - Conceito de obscuridade. Vício de inteligibilidade, ambiguidade interpretativa e falta de clareza no arranjo de termos.",edobscuridade,Estrutura - Embargos de declaração,N,RBRACKMANN,11/10/2023 12:37:06
GabRJL,20000015693,"ESTRUTURA - Prequestionamento ficto de teses e dispositivos. Inteligência dos arts. 489, §1º, IV e 1.025 do CPC. Fundamentação suficiente.",estr-prequestionamento,Estrutura - MÉRITO,N,RBRACKMANN,26/10/2023 12:14:50
GabRJL,20000015784,"ESTRUTURA - Pessupostos da tutela de urgência e equilíbrio com contraditório (art 300 CPC, inaudita altera parte, probabilidade direito, perigo dano, risco resultado útil)",estr-tutela-300,Estrutura - LIMINAR,N,RBRACKMANN,30/10/2023 19:02:15
GabRJL,20000019100,ESTRUTURA - Submissão do feito ao julgamento virtual. Certificação de ausência de oposição tempestiva das partes. Fundamentação nos artigos 247 e 248 do RITJRS.,estr-julg-virtual-ritjrs,Estrutura - Admissibilidade,N,carlamd,25/02/2024 13:49:48
GabRJL,20000024006,ESTRUTURA - Relatório introdutório genérico para decisões em recursos,estr-relat-generico,Estrutura - Agravo interno - Apelação,N,RBRACKMANN,17/09/2024 18:57:08
GabRJL,20000038047,"ED - Prequestionamento. Desnecessidade de manifestação sobre todos os artigos. Prequestionamento ficto nos termos do art. 1.025 do CPC. Fundamentação suficiente (art. 489, §1º, IV).",eds-prequestionamento,Estrutura - Embargos de declaração,N,RBRACKMANN,15/10/2025 14:23:35
GabRJL,20000040418,ESTRUTURA - Esqueleto genérico voto recurso apelação agravo,estr-voto-generico,Estrutura - Agravo de instrumento - Apelação,N,RBRACKMANN,28/01/2026 13:48:39
GabRJL,20000040509,ESTRUTURA - Relatório introdutório agravo interno,estr-relat-agrint,Estrutura - Agravo interno,N,RBRACKMANN,03/02/2026 16:50:32
GabRJL,20000040510,ESTRUTURA - Voto agravo interno padrão introdução fundamentação dispositivo,estr-voto-agrint,Estrutura - Agravo interno,N,RBRACKMANN,03/02/2026 16:52:07
GabRJL,20000015419,"DESPACHO - Introdução agravo de instrumento sobre efeito suspensivo e tutela antecipada recursal ativa (art 1019 I, 297, 300 CPC, urgência, probabilidade direito, perigo dano, resultado útil)",desp-ai-tutela-intro,Agravo de instrumento - Estrutura - LIMINAR,N,RBRACKMANN,16/10/2023 18:38:56
GabRJL,20000015421,DESPACHO - Agravo instrumento intimar agravado contrarrazões prazo resposta manifestação,desp-ai-contrarraz,Agravo de instrumento,N,RBRACKMANN,16/10/2023 18:41:17
GabRJL,20000015678,DESPACHO - Receber agravo de instrumento sem pedido de efeito suspensivo ou tutela antecipada liminar,desp-ai-recebimento,Distribuição,N,RBRACKMANN,25/10/2023 14:56:05
GabRJL,20000016134,DESPACHO - AJG indeferida intimar recolher custas finais gratuidade revogada pagamento,desp-ajg-custasfinais,Distribuição - Preparo - Gratuidade de Justiça,N,RBRACKMANN,16/11/2023 12:23:28
GabRJL,20000023239,DESPACHO - AJG pessoa física indeferir gratuidade intimar recolher preparo custas hipossuficiência,desp-ajg-pf-indefere,Distribuição - Preparo - Gratuidade de Justiça,N,TDOLEYS,27/08/2024 12:18:13
GabRJL,20000023240,DESPACHO - AJG pessoa jurídica indeferir gratuidade intimar recolher preparo custas empresa,desp-ajg-pj-indefere,Distribuição - Preparo - Gratuidade de Justiça,N,TDOLEYS,27/08/2024 12:21:26
GabRJL,20000023254,DESPACHO - Apelação sentença extintiva inércia do autor retratação abandono intimação pessoal 485,desp-retrat-inercia,Distribuição - Apelação - Retratação,N,TDOLEYS,27/08/2024 14:17:10
GabRJL,20000023255,DESPACHO - Apelação sentença extintiva improcedência liminar retratação juízo primeiro grau art 332 485,desp-retrat-improced,Distribuição - Apelação - Retratação,N,TDOLEYS,27/08/2024 14:20:44
GabRJL,20000023257,DESPACHO - Apelação sentença extintiva indeferimento inicial retratação petição inépcia 331,desp-retrat-indeferida,Distribuição - Apelação - Retratação,N,TDOLEYS,27/08/2024 14:25:14
GabRJL,20000023242,"DESPACHO - Intimação para comprovar AJG na origem ou recolher preparo em dobro por ausência de comprovação no ato da interposição (art. 1.007, §4º, CPC, silêncio, omissão,)",desp-prep-dobro-silencio,Admissibilidade - Distribuição - Preparo,N,RBRACKMANN,27/08/2024 12:50:48
GabRJL,20000023243,"DESPACHO - Intimação para regularizar preparo recolhido no primeiro grau e orientações sobre pedido de restituição de custas equivocadas (art. 1.007, §7º, CPC, Ato 026/2010-P, segundo grau, deserção)",desp-prep-1grau,Admissibilidade - Distribuição - Preparo - Agravo de instrumento,N,RBRACKMANN,27/08/2024 12:58:34
GabRJL,20000023246,"DESPACHO - Intimação para recolhimento do preparo em dobro por intempestividade do pagamento (art. 1.007, §4º, CPC, Ofício-Circular 05/2019-DIJUD, expediente forense, horário bancário, guia, deserção)",desp-prep-dobro-intempes,Admissibilidade - Distribuição - Preparo - Agravo de instrumento,N,RBRACKMANN,27/08/2024 13:11:42
GabRJL,20000023247,"DESPACHO - Intimação para recolhimento do preparo em dobro por juntada de guia de processo diverso (art. 1.007, §4º, CPC, erro na comprovação, processo diferente, prazo 5 dias, deserção, custas)",desp-prep-dobro-procdivers,Admissibilidade - Distribuição - Preparo,N,RBRACKMANN,27/08/2024 13:18:18
GabRJL,20000023250,"DESPACHO - Intimação para complementar preparo insuficiente no prazo de 5 dias sob pena de deserção (art. 1.007, §2º, CPC, recolhimento simples, diferença de valores, guia)",desp-prep-complem-simples,Admissibilidade - Distribuição - Preparo,N,RBRACKMANN,27/08/2024 13:39:39
GabRJL,20000023261,DESPACHO - repetição de ação rescisória previamente extinta sem julgamento de mérito prevenção,desp-prevencao-resc,Distribuição - Prevenção,N,RBRACKMANN,27/08/2024 14:40:26
GabRJL,20000023263,DESPACHO - Prevenção declinar competência recurso prévio decidido por outro desembargador,Prevenção - recurso prévio,Distribuição - Prevenção,N,RBRACKMANN,27/08/2024 14:58:05
GabRJL,20000038453,DESPACHO - emissão de guia para preparo recursal,desp-guia-preparo,Distribuição - Preparo,N,TDOLEYS,29/10/2025 13:24:24